Wordnum_1,Analyzed_1,Word_1,Onset_1,Offset_1,Cloze_1,,,Wordnum_p2,Wordnum_2,Analyzed_2,Word_2,Onset_2,Offset_2,Cloze_2
71,0,name,26.45,26.78,0.03,,,71,2327,0,him,25,25.12,0.37
72,0,is,26.82,26.98,0.40,,,72,2328,0,all,25.21,25.48,0.03
73,0,Tulena,27.2,27.55,0.00,,,73,2329,0,about,25.48,25.72,0.33
74,0,Clarissa,27.599999,28.159999,0.00,,,74,2330,0,yesterday.,25.72,26.31,0.03
75,0,Warren,28.16,28.57,0.00,,,75,2331,0,"Oh,",27.01,27.31,0.03
76,0,the,28.57,28.7,0.07,,,76,2332,0,"dear,",27.32,27.9,0.10
77,0,"first,",28.7,29.21,0.03,,,77,2333,0,he,28.19,28.39,0.13
78,0,but,29.679999,29.829999,0.03,,,78,2334,0,said.,28.389999,28.699999,0.83
79,0,our,29.83,29.97,0.00,,,79,2335,0,This,29.059999,29.309999,0.03
80,0,Mom,29.969999,30.389999,0.10,,,80,2336,0,is,29.33,29.61,0.97
81,0,and,30.42,30.62,0.10,,,81,2337,0,very,29.62,30.14,0.03
82,0,everybody,30.69,31.23,0.00,,,82,2338,0,distressing.,30.139999,30.839999,0.03
83,0,else,31.23,31.55,0.53,,,83,2339,0,We're,31.639999,31.779999,0.00
84,0,call,31.549999,31.799999,0.60,,,84,2340,0,going,31.78,31.97,0.60
85,0,her,31.799999,31.969999,0.93,,,85,2341,0,to,31.969999,32.039999,1.00
86,0,Tully.,32.179999,32.359999,0.13,,,86,2342,0,get,32.04,32.19,0.03
87,0,Our,33.509999,33.659999,0.00,,,87,2343,0,Coco,32.19,32.49,0.17
88,0,mom,33.66,33.92,0.40,,,88,2344,0,"back,",32.49,32.99,0.90
89,0,says,33.92,34.19,0.10,,,89,2345,0,Tully,33.099999,33.399999,0.30
90,0,she,34.190001,34.340001,0.40,,,90,2346,0,said.,33.4,33.73,0.90
91,0,is,34.34,34.46,0.77,,,91,2347,0,We,34,34.11,0.10
92,0,a,34.459999,34.579999,0.17,,,92,2348,0,are,34.109999,34.169999,0.43
93,0,"fashionista,",34.58,35.56,0.00,,,93,2349,0,on,34.17,34.43,0.07
94,0,which,35.99,36.21,0.00,,,94,2350,0,the,34.43,34.53,0.80
95,0,means,36.209999,36.489999,0.43,,,95,2351,0,"case,",34.529999,34.829999,0.77
96,0,that,36.49,36.63,0.37,,,96,2352,0,"sir,",34.83,35.21,0.03
97,0,she,36.63,36.84,0.97,,,97,2353,0,Alex,35.35,35.66,0.17
98,0,"really,",36.84,37.37,0.00,,,98,2354,0,said.,35.66,35.97,0.93
99,0,really,37.38,37.8,0.47,,,99,2355,0,Mr,36.52,36.83,0.17
100,0,likes,37.8,38.08,0.50,,,100,2356,0,Hornswoggle,36.83,37.08,0.83
101,1,clothes.,38.08,38.68,0.50,,,101,2357,0,pulled,37.42,37.68,0.03
102,0,That,39.43,39.7,0.03,,,102,2358,0,a,37.67,37.73,0.10
103,0,"day,",39.7,40.05,0.10,,,103,2359,0,handkerchief,37.73,38.31,0.03
104,0,she,40.06,40.27,0.77,,,104,2360,0,out,38.36,38.51,0.80
105,0,wore,40.27,40.48,0.03,,,105,2361,0,of,38.51,38.64,0.83
106,0,her,40.48,40.65,0.10,,,106,2362,0,his,38.64,38.76,0.97
107,0,furry,40.65,41.03,0.00,,,107,2363,0,pocket,38.76,39.16,0.93
108,0,pink,41.04,41.3,0.00,,,108,2364,0,and,39.19,39.37,0.93
109,0,vest,41.32,41.75,0.00,,,109,2365,0,patted,39.37,39.69,0.03
110,0,over,41.96,42.21,0.00,,,110,2366,0,his,39.69,39.83,0.77
111,0,a,42.21,42.27,0.03,,,111,2367,0,forehead.,39.83,40.28,0.37
112,0,green,42.27,42.62,0.00,,,112,2368,0,I,41.05,41.21,0.30
113,0,rainbow,42.62,42.94,0.00,,,113,2369,0,very,41.21,41.5,0.03
114,0,T-shirt,43.23,43.53,0.03,,,114,2370,0,much,41.5,41.72,0.80
115,0,with,43.88,44.04,0.10,,,115,2371,0,hope,41.72,41.96,0.47
116,0,a,44.04,44.11,0.60,,,116,2372,0,so.,41.96,42.29,0.27
117,0,jean,44.11,44.51,0.00,,,117,2373,0,You,42.63,42.77,0.07
118,0,skirt,44.51,44.91,0.23,,,118,2374,0,"see,",42.77,43.08,0.03
119,0,and,44.98,45.22,0.70,,,119,2375,0,Coco,43.12,43.45,0.43
120,0,blue,45.23,45.56,0.00,,,120,2376,0,is,43.53,43.61,0.80
121,0,leggings,45.76,46.09,0.03,,,121,2377,0,"gravid,",43.62,44.1,0.03
122,0,dotted,46.099999,46.389999,0.00,,,122,2378,0,and,44.389999,44.539999,0.63
123,0,with,46.389999,46.509999,0.80,,,123,2379,0,so,44.54,44.66,0.03
124,0,pink,46.57,46.9,0.20,,,124,2380,0,we,44.66,44.79,0.10
125,0,circles.,46.9,47.61,0.10,,,125,2381,0,must,44.79,45.07,0.27
126,0,She,48.84,49.04,0.50,,,126,2382,0,make,45.07,45.24,0.10
127,0,had,49.02,49.15,0.07,,,127,2383,0,sure,45.24,45.54,0.37
128,0,just,49.12,49.41,0.00,,,128,2384,0,she,45.54,45.75,0.07
129,0,come,49.41,49.54,0.10,,,129,2385,0,returns,45.75,46.21,0.03
130,0,back,49.559999,49.759999,0.10,,,130,2386,0,to,46.21,46.33,0.40
131,0,to,49.759999,49.879999,0.03,,,131,2387,0,the,46.33,46.43,0.30
132,0,class,49.88,50.29,0.13,,,132,2388,0,nest,46.429999,46.709999,0.03
133,0,after,50.309999,50.599999,0.20,,,133,2389,0,in,46.71,46.83,0.10
134,0,first,50.599999,51.069999,0.00,,,134,2390,0,time.,46.83,47.21,0.27
135,0,recess.,51.07,51.66,0.07,,,135,2391,0,They,47.929999,48.089999,0.00
136,0,Kids,52.049999,52.299999,0.00,,,136,2392,0,all,48.09,48.21,0.27
137,0,were,52.299999,52.449999,0.77,,,137,2393,0,had,48.21,48.38,0.00
138,0,still,52.449999,52.679999,0.03,,,138,2394,0,no,48.38,48.69,0.00
139,0,getting,52.68,52.92,0.00,,,139,2395,0,idea,48.69,49.19,0.60
140,0,drinks,52.92,53.23,0.00,,,140,2396,0,what,49.2,49.34,0.57
141,0,from,53.23,53.38,0.30,,,141,2397,0,he,49.34,49.42,0.00
142,0,the,53.379999,53.469999,0.97,,,142,2398,0,was,49.42,49.57,0.30
143,0,drinking,53.469999,53.839999,0.00,,,143,2399,0,talking,49.57,49.89,0.63
144,1,fountain,53.89,54.36,0.90,,,144,2400,0,about.,49.889999,50.149999,0.97
145,0,and,54.5,54.68,0.43,,,145,2401,0,Lyra,50.96,51.1,0.00
146,0,grabbing,54.68,55.01,0.00,,,146,2402,0,and,51.28,51.41,0.07
147,0,their,55.01,55.16,0.30,,,147,2403,0,Tully,51.57,51.73,0.43
148,0,English,55.19,55.6,0.00,,,148,2404,0,raised,51.73,51.99,0.00
149,1,books,55.6,55.9,0.80,,,149,2405,0,their,51.99,52.12,0.60
150,0,out,55.91,56.05,0.00,,,150,2406,0,eyebrows,52.15,52.64,0.17
151,0,of,56.05,56.18,0.90,,,151,2407,0,at,52.639999,52.729999,0.30
152,0,their,56.18,56.33,0.87,,,152,2408,0,each,52.73,52.91,0.03
153,1,lockers.,56.33,56.89,0.67,,,153,2409,0,other.,52.91,53.26,0.93
154,0,Tully,57.68,58.01,0.10,,,154,2410,0,Huh?,53.940001,54.480001,0.00
155,0,handed,58.01,58.34,0.00,,,155,2411,0,Alex,54.82,55.11,0.00
156,0,the,58.34,58.47,0.00,,,156,2412,0,said.,55.11,55.39,0.63
157,0,invitations,58.47,59.18,0.40,,,157,2413,0,"Oh,",55.98,56.28,0.00
158,0,to,59.18,59.33,0.57,,,158,2414,0,sorry.,56.62,57.1,0.03
159,0,her,59.33,59.49,0.27,,,159,2415,0,Gravid,57.8,57.9,0.13
160,0,four,59.49,59.87,0.00,,,160,2416,0,means,57.93,58.3,0.40
161,0,best,59.89,60.18,0.23,,,161,2417,0,pregnant!,58.36,58.99,0.20
162,1,friends:,60.18,60.6,0.97,,,162,2418,0,Coco,59.36,59.71,0.07
163,0,"Lyra,",61.06,61.63,0.00,,,163,2419,0,is,59.73,59.85,0.60
164,0,"Caleb,",61.82,62.35,0.00,,,164,2420,0,going,59.86,60.09,0.20
165,0,"Rocket,",62.52,63.02,0.00,,,165,2421,0,to,60.09,60.18,0.97
166,0,and,63.11,63.34,0.27,,,166,2422,0,be,60.19,60.33,0.10
167,0,Alex.,63.36,63.95,0.00,,,167,2423,0,a,60.33,60.38,0.83
168,0,The,64.63,64.78,0.00,,,168,2424,1,"mother,",60.38,60.85,0.43
169,0,five,64.78,65.06,0.03,,,169,2425,0,Mr,61.38,61.67,0.20
170,0,of,65.059999,65.239999,0.43,,,170,2426,0,Hornswoggle,62.23,62.24,0.20
171,0,them,65.24,65.52,0.73,,,171,2427,0,explained.,62.24,62.74,0.00
172,0,were,65.639999,65.759999,0.47,,,172,2428,0,What?,63.28,63.71,0.00
173,0,the,65.759999,65.849999,0.03,,,173,2429,0,Tully,64.45,64.76,0.17
174,0,members,65.849999,66.249999,0.00,,,174,2430,0,nearly,64.76,65.12,0.00
175,0,of,66.27,66.43,1.00,,,175,2431,0,shouted.,65.13,65.8,0.07
176,0,the,66.429999,66.519999,0.70,,,176,2432,0,But,66.259999,66.379999,0.00
177,0,Gumshoe,66.99,67,0.00,,,177,2433,0,Coco,66.41,66.7,0.07
178,0,gang.,67,67.38,0.10,,,178,2434,0,is,66.8,66.836,0.63
179,0,A,67.98,68.1,0.00,,,179,2435,0,a,66.84,66.94,0.67
180,0,gumshoe,68.74,68.75,0.00,,,180,2436,0,boy!,66.95,67.44,0.47
181,0,is,68.799999,68.969999,0.33,,,181,2437,0,Mr,67.889999,68.199999,0.03
182,0,a,68.969999,69.029999,0.70,,,182,2438,0,Hornswoggle,68.63,68.78,0.33
183,0,detective,69.03,69.56,0.30,,,183,2439,0,laughed.,68.78,69.1,0.17
184,0,who,69.559999,69.699999,0.47,,,184,2440,0,Everyone,69.67,70.14,0.00
185,0,cracks,69.7,70.15,0.00,,,185,2441,0,says,70.139999,70.369999,0.00
186,0,cases.,70.15,70.7,0.57,,,186,2442,0,he,70.4,70.83,0.00
187,0,Mr,71.48,71.78,0.00,,,187,2443,0,and,70.84,71.05,0.03
188,0,"Sleuth,",71.779999,72.149999,0.00,,,188,2444,0,so,71.049999,71.379999,0.00
189,0,the,72.32,72.43,0.23,,,189,2445,0,I,71.57,71.7,0.20
190,0,school,72.43,72.72,0.00,,,190,2446,0,don't,71.699999,71.889999,0.03
191,0,"secretary,",72.72,73.4,0.00,,,191,2447,0,correct,71.889999,72.239999,0.27
192,0,gave,73.65,73.92,0.00,,,192,2448,0,"them,",72.24,72.48,0.70
193,0,them,73.92,74.06,0.53,,,193,2449,0,but,72.86,73.04,0.23
194,0,that,74.06,74.23,0.00,,,194,2450,0,he,73.05,73.51,0.17
195,0,"nickname,",74.23,74.68,0.03,,,195,2451,0,is,73.56,73.76,0.67
196,0,since,74.77,75,0.00,,,196,2452,0,very,73.76,74.03,0.00
197,0,they,75,75.13,0.67,,,197,2453,0,much,74.03,74.34,0.47
198,0,solve,75.13,75.4,0.23,,,198,2454,0,a,74.4,74.48,0.77
199,0,all,75.49,75.78,0.00,,,199,2455,0,she.,74.48,74.93,0.30
200,0,of,75.78,75.89,0.10,,,200,2456,0,"But,",75.71,75.98,0.00
201,0,the,75.89,75.98,0.87,,,201,2457,0,"but,",76.52,76.72,0.00
202,1,mysteries,75.99,76.46,0.20,,,202,2458,0,who-,76.73,77.18,0.00
203,0,that,76.46,76.59,0.17,,,203,2459,0,Lyra,77.72,78.06,0.00
204,0,occur,76.59,76.88,0.03,,,204,2460,0,"sputtered,",78.06,78.54,0.00
205,0,at,76.88,77.02,0.40,,,205,2461,0,covering,78.66,79.04,0.00
206,0,Watson,77.02,77.4,0.00,,,206,2462,0,her,79.05,79.16,0.83
207,0,Elementary.,77.4,78.2,0.67,,,207,2463,0,mouth,79.16,79.48,0.80
208,0,Tully,79.22,79.52,0.13,,,208,2464,0,with,79.49,79.58,0.20
209,0,pulled,79.52,79.83,0.00,,,209,2465,0,her,79.58,79.68,0.80
210,0,the,79.83,79.92,0.40,,,210,2466,1,hands.,79.68,80.11,0.90
211,0,last,79.92,80.24,0.00,,,211,2467,0,Then,80.67,80.84,0.00
212,0,invitation,80.24,80.79,0.37,,,212,2468,0,she,80.84,80.98,0.10
213,0,from,80.79,80.95,0.33,,,213,2469,0,"whispered,",80.98,81.46,0.00
214,0,her,80.95,81.06,0.97,,,214,2470,0,Who,82.04,82.23,0.27
215,0,pocket,81.059999,81.469999,0.10,,,215,2471,0,is,82.23,82.38,0.53
216,0,and,81.55,81.72,0.87,,,216,2472,0,Coco's,82.38,82.74,0.07
217,0,gave,81.719999,81.909999,0.63,,,217,2473,0,husband?,82.75,83.38,0.00
218,0,it,81.91,82.03,0.93,,,218,2474,0,Mr,84.25,84.55,0.40
219,0,to,82.03,82.15,0.97,,,219,2475,0,Hornswoggle,85.09,85.1,NA
220,0,Lyra.,82.15,82.55,0.00,,,220,2476,0,chuckled,85.11,85.45,0.00
221,0,"Oh,",83.309999,83.539999,0.00,,,221,2477,0,again.,85.45,85.82,0.03
222,0,thank,83.71,84.06,0.20,,,222,2478,0,It,86.49,86.62,0.00
223,0,you!,84.059999,84.359999,1.00,,,223,2479,0,is,86.62,86.73,0.60
224,0,Lyra,84.7,84.81,0.27,,,224,2480,0,a,86.73,86.8,0.40
225,0,said.,84.82,85.15,0.77,,,225,2481,0,strange,86.799999,87.229999,0.00
226,0,When,85.76,85.889999,0.03,,,226,2482,0,fact,87.24,87.53,0.00
227,0,is,85.889999,86.049999,0.67,,,227,2483,0,about,87.54,87.81,0.07
228,0,the,86.049999,86.179999,0.80,,,228,2484,0,"turtles,",87.809999,88.249999,0.57
229,1,party?,86.179999,86.749999,0.00,,,229,2485,0,but,88.58,88.76,0.03
230,0,Caleb,86.849999,87.229999,0.00,,,230,2486,0,some,88.76,89.04,0.00
231,0,"asked,",87.23,87.54,0.73,,,231,2487,0,females,89.039999,89.479999,0.00
232,0,squinting,87.559999,88.089999,0.00,,,232,2488,0,can,89.48,89.64,0.43
233,0,at,88.09,88.22,0.50,,,233,2489,0,lay,89.639999,89.789999,0.17
234,0,the,88.219999,88.339999,0.63,,,234,2490,0,a,89.789999,89.859999,0.00
235,0,invitation.,88.34,89.03,0.60,,,235,2491,0,clutch,89.859999,90.139999,0.07
236,0,These,89.449999,89.699999,0.00,,,236,2492,0,of,90.139999,90.289999,0.50
237,0,letters,89.699999,90.049999,0.03,,,237,2493,0,eggs,90.29,90.58,0.87
238,0,are,90.049999,90.149999,0.80,,,238,2494,0,years,90.6,91.1,0.00
239,0,so,90.15,90.48,0.27,,,239,2495,0,after,91.1,91.37,0.47
240,0,squiggly,90.474,91.096,0.00,,,240,2496,0,mating.,91.37,91.77,0.07
241,0,I,91.16,91.32,0.10,,,241,2497,0,Coco,92.58,92.91,0.00
242,0,can't,91.32,91.6,0.63,,,242,2498,0,used,92.91,93.14,0.00
243,0,even,91.6,91.87,0.07,,,243,2499,0,to,93.14,93.22,0.77
244,0,read,91.87,92.08,0.70,,,244,2500,0,have,93.22,93.43,0.23
245,0,it!,92.08,92.29,0.03,,,245,2501,0,a,93.43,93.47,0.87
246,0,It's,93.05,93.23,0.00,,,246,2502,0,"mate,",93.47,93.78,0.13
247,0,called,93.23,93.48,0.00,,,247,2503,0,but,94.3,94.45,0.60
248,0,"cursive,",93.79,94.04,0.27,,,248,2504,0,he,94.45,94.53,0.57
249,0,silly.,94.05,94.57,0.07,,,249,2505,0,passed,94.53,94.84,0.07
250,0,And,94.9,95.05,0.03,,,250,2506,0,away,94.84,95.11,0.87
251,0,the,95.05,95.12,0.00,,,251,2507,0,quite,95.11,95.37,0.00
252,0,party,95.12,95.39,0.10,,,252,2508,0,a,95.37,95.42,0.43
253,0,is,95.39,95.58,0.70,,,253,2509,0,while,95.42,95.7,0.47
254,0,this,95.58,95.77,0.03,,,254,2510,0,ago.,95.7,96.07,0.93
255,0,Sunday.,95.77,96.33,0.00,,,255,2511,0,Holy,96.92,97.37,0.00
256,0,That's,96.55,96.79,0.00,,,256,2512,0,"moly,",97.37,97.92,0.33
257,0,five,96.79,97.05,0.00,,,257,2513,0,Lyra,97.93,98.24,0.07
258,1,days,97.05,97.26,0.67,,,258,2514,0,said.,98.24,98.57,0.73
259,0,away.,97.26,97.63,0.17,,,259,2515,0,"Wow,",98.98,99.37,0.03
260,0,I'll,98.3,98.48,0.00,,,260,2516,0,Mr,99.37,99.7,0.03
261,0,ask,98.48,98.69,0.03,,,261,2517,0,Hornswoggle!,99.7,99.97,0.73
262,0,my,98.69,98.82,0.57,,,262,2518,0,Caleb,100.54,100.9,0.00
263,0,mom,98.82,99.09,0.70,,,263,2519,0,said.,100.9,101.21,0.57
264,0,as,99.09,99.2,0.00,,,264,2520,0,You,101.48,101.64,0.00
265,0,soon,99.2,99.42,0.27,,,265,2521,0,are,101.639999,101.719999,0.33
266,0,as,99.42,99.54,1.00,,,266,2522,0,like,101.719999,101.889999,0.00
267,0,I,99.54,99.62,0.70,,,267,2523,0,an,101.889999,102.029999,0.00
268,0,get,99.63,99.82,0.57,,,268,2524,0,empty,102.05,102.45,0.00
269,0,"home,",99.83,100.36,0.80,,,269,2525,0,well,102.45,102.76,0.00
270,0,Alex,100.469999,100.819999,0.03,,,270,2526,0,of,102.759999,102.889999,0.50
271,0,"said,",100.82,101.18,0.87,,,271,2527,0,knowledge!,102.889999,103.609999,0.43
272,0,pushing,101.3,101.64,0.00,,,272,2528,0,He,104.4,104.6,0.07
273,0,on,101.639999,101.749999,0.00,,,273,2529,0,means,104.599999,104.829999,0.00
274,0,his,101.75,101.85,0.20,,,274,2530,0,that,104.83,104.95,0.37
275,1,glasses.,101.87,102.44,0.13,,,275,2531,0,as,104.95,105.09,0.00
276,0,Will,103.08,103.22,0.00,,,276,2532,0,a,105.089999,105.139999,0.83
277,0,there,103.219999,103.359999,0.03,,,277,2533,0,"compliment,",105.139999,105.729999,0.37
278,0,be,103.36,103.54,0.97,,,278,2534,0,said,105.99,106.18,0.27
279,0,anything,103.559999,103.999999,0.00,,,279,2535,0,Alex.,106.18,106.62,0.00
280,0,related,104,104.46,0.00,,,280,2536,0,Tully,108,108.24,0.07
281,0,to,104.469999,104.909999,0.97,,,281,2537,0,quickly,108.24,108.59,0.00
282,0,aliens,104.969999,105.549999,0.00,,,282,2538,0,pulled,108.59,108.85,0.00
283,0,there?,105.549999,105.999999,0.00,,,283,2539,0,out,108.85,108.94,0.23
284,0,Rocket,106.5,106.87,0.03,,,284,2540,0,her,108.95,109.05,0.50
285,0,asked.,106.91,107.29,0.50,,,285,2541,0,notebook,109.05,109.45,0.53
286,0,Like,107.85,108.01,0.00,,,286,2542,0,from,109.459999,109.639999,0.00
287,0,an,108.01,108.13,0.00,,,287,2543,0,her,109.64,109.74,0.87
288,0,alien,108.14,108.52,0.67,,,288,2544,0,back,109.74,109.98,0.03
289,0,spaceship,108.529999,109.149999,0.27,,,289,2545,0,pocket.,109.98,110.39,0.03
290,0,pinata,109.37,109.82,0.00,,,290,2546,0,Mr,111.33,111.61,0.00
291,0,Or,109.9,110.53,0.23,,,291,2547,0,"Hornswoggle,",111.61,112.28,0.80
292,0,a,110.79,110.92,0.43,,,292,2548,0,do,112.56,112.63,0.07
293,0,green,110.92,111.23,0.00,,,293,2549,0,you,112.63,112.73,0.77
294,0,Planet,111.23,111.58,0.00,,,294,2550,0,have,112.75,173.92,0.07
295,0,Moog,111.58,111.83,0.00,,,295,2551,0,any,112.93,113.21,0.47
296,0,cake?,111.96,112.4,0.00,,,296,2552,0,idea,113.21,113.61,0.47
297,0,Rocket's,113.59,113.65,0.00,,,297,2553,0,who,113.62,113.74,0.07
298,0,real,113.67,113.89,0.00,,,298,2554,0,would,113.74,113.86,0.20
299,0,name,113.89,114.12,0.53,,,299,2555,0,want,113.86,114.04,0.07
300,0,was,114.12,114.27,0.37,,,300,2556,0,to,114.05,114.17,0.80
301,0,Ronald,114.27,114.59,0.00,,,301,2557,0,snatch,114.17,114.5,0.00
302,0,"Gonzaga,",114.77,115.17,0.00,,,302,2558,0,a,114.5,114.56,0.20
303,0,but,115.49,115.72,0.17,,,303,2559,0,turtle?,114.56,115.03,0.00
304,0,everybody,115.79,116.39,0.03,,,304,2560,0,"Hmmm,",115.98,116.54,0.00
305,0,called,116.389999,116.649999,0.93,,,305,2561,0,not,117.139999,117.379999,0.03
306,0,him,116.65,116.84,0.97,,,306,2562,0,really!,117.389999,117.829999,0.33
307,0,Rocket,116.84,117.31,0.80,,,307,2563,0,he,117.84,118.02,0.10
308,0,because,117.52,117.82,0.47,,,308,2564,0,said.,118.03,118.37,0.73
309,0,he,117.82,117.93,0.93,,,309,2565,0,He,118.95,119.11,0.03
310,0,could,117.929999,118.059999,0.00,,,310,2566,0,took,119.11,119.29,0.00
311,0,beat,118.07,118.24,0.00,,,311,2567,0,off,119.29,119.43,0.00
312,0,almost,118.27,118.6,0.00,,,312,2568,0,his,119.429999,119.569999,0.80
313,0,anybody,118.65,119.2,0.10,,,313,2569,1,glasses,119.58,120.1,0.60
314,0,in,119.2,119.31,0.40,,,314,2570,0,and,120.13,120.3,0.87
315,0,a,119.309999,119.409999,0.47,,,315,2571,0,started,120.3,120.6,0.00
