Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time,,Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time
"you,",you,you,310.1,310.47,,Javier,Javier,javier,310.7,311.09
even,even,even,310.78,311.1,,took,took,took,311.09,311.27
though,though,though,311.1,311.31,,a,a,a,311.27,311.33
he,he,he,311.32,311.47,,deep,deep,deep,311.33,311.56
was,was,was,311.47,311.66,,breath,breath,breath,311.57,311.92
"hairy,",hairy,hairy,311.66,312.13,,and,and,and,312.02,312.18
that,that,that,312.18,312.42,,then,then,then,312.18,312.34
spider,spider,spider,312.42,312.97,,said,said,said,312.35,312.66
was,was,was,312.98,313.23,,all,all,all,312.75,313.06
definitely,definitely,definitely,313.35,313.99,,in,in,in,313.07,313.17
not,not,not,313.99,314.26,,a,a,a,313.17,313.24
fluffy.,fluffy,fluffy,314.26,314.79,,"rush,",rush,rush,313.24,313.68
There,There,there,315.82,315.94,,I'm,I'm,i'm,314.47,314.63
was,was,was,315.94,316.06,,not,not,not,314.63,314.79
also,also,also,316.07,316.41,,supposed,supposed,supposed,314.79,315.05
Coco,Coco,coco,316.41,316.9,,to,to,to,315.05,315.13
the,the,the,316.96,317.06,,tell,tell,tell,315.13,315.56
turtle.,turtle,turtle,317.059999,317.469999,,that,that,that,315.61,315.84
Sometimes,Sometimes,sometimes,318.429999,319.009999,,Tully's,Tully's,<unk>,315.84,316.11
when,when,when,319.009999,319.109999,,mother,mother,mother,316.139999,316.369999
he,he,he,319.11,319.2,,came,came,came,316.37,316.6
opened,opened,opened,319.2,319.49,,into,into,into,316.599999,316.749999
his,his,his,319.49,319.61,,Claws,Claws,claws,316.75,317
"mouth,",mouth,mouth,319.61,319.93,,and,and,and,317,317.12
he,he,he,320.17,320.3,,Paws,Paws,paws,317.12,317.58
looked,looked,looked,320.299999,320.499999,,to,to,to,317.66,317.81
like,like,like,320.5,320.63,,buy,buy,buy,317.809999,318.029999
he,he,he,320.63,320.74,,Tully,Tully,tully,318.07,318.43
was,was,was,320.74,320.91,,a,a,a,318.44,318.52
grinning,grinning,grinning,320.91,321.28,,pet,pet,pet,318.52,318.73
at,at,at,321.28,321.42,,for,for,for,318.73,318.82
you.,you,you,321.42,321.67,,her,her,her,318.82,318.93
Mr,Mr,mr,322.629999,322.949999,,birthday.,birthday,birthday,318.929999,319.409999
Hornswoggle,Hornswoggle,<unk>,322.949999,323.519999,,And,And,and,319.7,319.82
rang,rang,rang,323.52,323.74,,I'm,I'm,i'm,319.82,319.92
a,a,a,323.74,323.79,,not,not,not,319.92,320.11
little,little,little,323.789999,324.009999,,supposed,supposed,supposed,320.11,320.4
bell,bell,bell,324.01,324.26,,to,to,to,320.4,320.47
from,from,from,324.26,324.43,,tell,tell,tell,320.469999,320.879999
his,his,his,324.43,324.57,,that,that,that,320.91,321.06
desk.,desk,desk,324.57,324.97,,I,I,i,321.059999,321.139999
That,That,that,325.62,325.84,,helped,helped,helped,321.15,321.46
meant,meant,meant,325.84,326.07,,her,her,her,321.46,321.75
it,it,it,326.08,326.17,,and,and,and,321.94,322.27
was,was,was,326.17,326.3,,it's,it's,it's,322.27,322.44
time,time,time,326.3,326.53,,going,going,going,322.440001,322.630001
for,for,for,326.53,326.7,,to,to,to,322.629999,322.699999
Tully's,Tully's,<unk>,326.73,327.03,,be,be,be,322.699999,322.889999
class,class,class,327.07,327.38,,a,a,a,322.93,323.06
to,to,to,327.39,327.52,,Whoa!,Whoa,whoa,323.26,323.95
pick,pick,pick,327.52,327.73,,Javier,Javier,javier,324.34,324.78
out,out,out,327.73,327.88,,don't,don't,don't,324.78,325.04
their,their,their,327.88,328.01,,tell,tell,tell,325.07,325.32
favorite,favorite,favorite,328.01,328.37,,her.,her,her,325.32,325.68
books,books,books,328.37,328.68,,Lyra,Lyra,<unk>,326.28,326.42
for,for,for,328.69,328.81,,said,said,said,326.43,326.71
the,the,the,328.81,328.89,,holding,holding,holding,326.72,327.03
week,week,week,328.89,329.21,,up,up,up,327.03,327.17
and,and,and,329.28,329.43,,her,her,her,327.17,327.3
check,check,check,329.43,329.65,,hands.,hands,hands,327.3,327.78
them,them,them,329.65,329.79,,Lyra,Lyra,<unk>,328.47,328.82
out.,out,out,329.79,330,,pulled,pulled,pulled,328.82,329.1
Tully,Tully,tully,331.04,331.38,,Tully,Tully,tully,329.12,329.41
really,really,really,331.38,331.76,,away,away,away,329.41,329.63
wanted,wanted,wanted,331.76,332.08,,from,from,from,329.63,329.79
a,a,a,332.08,332.14,,Javier,Javier,javier,329.79,330.35
pet,pet,pet,332.139999,332.409999,,and,and,and,330.45,330.63
for,for,for,332.41,332.53,,started,started,started,330.63,330.94
her,her,her,332.53,332.66,,walking,walking,walking,330.94,331.32
birthday.,birthday,birthday,332.66,333.26,,back,back,back,331.32,331.52
She,She,she,333.929999,334.089999,,inside.,inside,inside,331.52,332.02
had,had,had,334.09,334.23,,Thank,Thank,thank,332.77,333
made,made,made,334.23,334.43,,you,you,you,333,333.09
a,a,a,334.429999,334.469999,,for,for,for,333.09,333.2
list,list,list,334.469999,334.749999,,your,your,your,333.2,333.34
for,for,for,334.75,334.88,,help!,help,help,333.34,333.76
"Mom,",Mom,mom,334.889999,335.279999,,she,she,she,333.9,334.1
but,but,but,335.66,335.8,,called,called,called,334.099999,334.329999
she,she,she,335.8,335.91,,over,over,over,334.33,334.49
wasn't,wasn't,wasn't,335.91,336.19,,her,her,her,334.49,334.6
sure,sure,sure,336.19,336.44,,shoulder.,shoulder,shoulder,334.599999,335.059999
whether,whether,whether,336.44,336.68,,She,She,she,335.5,335.67
to,to,to,336.679999,336.809999,,whispered,whispered,whispered,335.67,336.04
ask,ask,ask,336.809999,337.079999,,to,to,to,336.04,336.11
for,for,for,337.08,337.52,,"Tully,",Tully,tully,336.11,336.58
a,a,a,337.53,337.64,,New,New,new,336.969999,337.229999
parrot,parrot,parrot,337.639999,338.239999,,rule:,rule,rule,337.25,337.69
or,or,or,338.32,338.49,,no,no,no,338.21,338.43
a,a,a,338.49,338.58,,talking,talking,talking,338.429999,338.799999
St,St,st,338.58,338.85,,to,to,to,338.799999,338.869999
Bernard,Bernard,bernard,338.849999,339.319999,,Javier,Javier,javier,338.88,339.34
dog,dog,dog,339.33,339.84,,until,until,until,339.339999,339.669999
or,or,or,339.88,340.34,,after,after,after,339.719999,340.209999
a,a,a,340.34,340.49,,your,your,your,340.23,340.39
python,python,python,340.629999,341.179999,,birthday,birthday,birthday,340.389999,340.699999
or,or,or,341.18,341.33,,"party,",party,party,340.699999,341.119999
a,a,a,341.53,341.54,,got,got,got,341.23,341.44
"ferret,",ferret,ferret,341.54,341.76,,it?,it,it,341.440001,341.720001
so,so,so,342.39,342.55,,Tully,Tully,tully,342.43,342.66
she,she,she,342.55,342.75,,had,had,had,342.66,342.79
used,used,used,342.75,343.08,,to,to,to,342.79,342.86
the,the,the,343.09,343.21,,promise,promise,promise,342.869999,343.329999
Dewey,Dewey,dewey,343.21,343.46,,and,and,and,343.35,343.54
Decimal,Decimal,decimal,343.46,343.83,,pinky,pinky,pinky,343.54,343.88
system,system,system,343.83,344.3,,swear,swear,swear,343.88,344.2
to,to,to,344.35,344.48,,three,three,three,344.25,344.57
find,find,find,344.48,344.74,,times,times,times,344.57,345.06
the,the,the,344.74,344.89,,before,before,before,345.06,345.39
animal,animal,animal,344.89,345.23,,Lyra,Lyra,<unk>,345.4,345.7
section,section,section,345.23,345.76,,let,let,let,345.71,345.9
to,to,to,345.85,345.98,,her,her,her,345.9,346.04
do,do,do,345.98,346.14,,go.,go,go,346.04,346.37
some,some,some,346.14,346.34,,What,What,what,346.75,346.94
research.,research,research,346.34,346.94,,now?,now,now,346.97,347.75
Mr,Mr,mr,348.13,348.46,,Caleb,Caleb,caleb,348.04,348.44
Hornswoggle,Hornswoggle,<unk>,348.46,349.02,,asked,asked,asked,348.44,348.73
found,found,found,349.02,349.31,,when,when,when,348.73,348.83
her,her,her,349.31,349.49,,they,they,they,348.83,348.93
as,as,as,349.5,349.64,,got,got,got,348.93,349.12
she,she,she,349.64,349.75,,back,back,back,349.12,349.3
was,was,was,349.75,349.89,,inside.,inside,inside,349.3,349.84
flipping,flipping,flipping,349.89,350.26,,I,I,i,350.48,350.59
through,through,through,350.26,350.48,,feel,feel,feel,350.59,350.76
a,a,a,350.48,350.53,,like,like,like,350.76,350.87
book,book,book,350.53,350.81,,we're,we're,we're,350.87,350.99
of,of,of,350.849999,350.989999,,grasping,grasping,grasping,350.99,351.47
exotic,exotic,exotic,350.99,351.47,,at,at,at,351.469999,351.569999
pets,pets,pets,351.51,351.99,,the,the,the,351.57,351.69
like,like,like,352.04,352.28,,straw,straw,straw,351.7,352.08
monkeys,monkeys,monkeys,352.28,352.77,,that,that,that,352.08,352.25
and,and,and,352.8,352.98,,broke,broke,broke,352.25,352.51
jungle,jungle,jungle,352.98,353.32,,the,the,the,352.51,352.62
cats.,cats,cats,353.32,353.72,,camel's,camel's,camel's,352.62,353.08
He,He,he,354.84,355,,back!,back,back,353.13,353.66
coughed,coughed,coughed,355,355.43,,Me,Me,me,354.309999,354.549999
and,and,and,355.53,355.68,,"too,",too,too,354.55,355.06
patted,patted,patted,355.679999,355.979999,,Alex,Alex,alex,355.12,355.43
around,around,around,355.98,356.19,,said.,said,said,355.429999,355.779999
his,his,his,356.19,356.33,,Is,Is,is,356.63,356.74
vest,vest,vest,356.33,356.58,,there,there,there,356.74,356.87
pockets,pockets,pockets,356.58,356.96,,anyone,anyone,anyone,356.87,357.23
for,for,for,356.969999,357.069999,,else,else,else,357.24,357.58
his,his,his,357.07,357.2,,who,who,who,357.58,357.7
glasses.,glasses,glasses,357.2,357.75,,would,would,would,357.7,357.82
The,The,the,358.18,358.35,,want,want,want,357.82,358
only,only,only,358.35,358.66,,a,a,a,358,358.06
problem,problem,problem,358.66,359.09,,"turtle,",turtle,turtle,358.059999,358.579999
was,was,was,359.09,359.36,,like,like,like,358.879999,359.189999
they,they,they,359.4,359.53,,for,for,for,359.190001,359.430001
were,were,were,359.529999,359.639999,,a,a,a,359.43,359.5
on,on,on,359.639999,359.749999,,pet?,pet,pet,359.5,359.84
his,his,his,359.75,359.95,,Caleb,Caleb,caleb,360.199999,360.569999
face,face,face,359.959999,360.289999,,asked.,asked,asked,360.57,360.93
already.,already,already,360.29,360.78,,Alex,Alex,alex,361.66,361.98
Tully,Tully,tully,361.41,361.69,,wrinkled,wrinkled,wrinkled,361.98,362.26
pointed,pointed,pointed,361.7,362.02,,his,his,his,362.26,362.43
to,to,to,362.02,362.12,,"nose,",nose,nose,362.43,362.81
her,her,her,362.12,362.28,,which,which,which,362.9,363.07
eyes,eyes,eyes,362.28,362.59,,made,made,made,363.07,363.21
and,and,and,362.59,362.74,,his,his,his,363.21,363.32
cleared,cleared,cleared,362.74,362.98,,glasses,glasses,glasses,363.32,363.7
her,her,her,362.98,363.12,,almost,almost,almost,363.71,364.07
throat.,throat,throat,363.12,363.45,,slide,slide,slide,364.07,364.3
"Oooh,",Oooh,oooh,364.09,364.49,,off.,off,off,364.3,364.65
of,of,of,364.69,364.93,,"Well,",Well,well,365.32,365.77
course.,course,course,364.95,365.41,,Emily,Emily,emily,366.31,366.58
Thank,Thank,thank,365.9,366.14,,already,already,already,366.58,366.79
you,you,you,366.14,366.25,,has,has,has,366.79,367.01
dear.,dear,dear,366.25,366.56,,a,a,a,367.01,367.06
"Tully,",Tully,tully,367.18,367.7,,"turtle,",turtle,turtle,367.06,367.55
I,I,i,367.83,367.96,,and,and,and,367.82,367.96
wanted,wanted,wanted,367.96,368.26,,so,so,so,367.96,368.1
to,to,to,368.26,368.36,,does,does,does,368.099999,368.199999
speak,speak,speak,368.36,368.69,,Xavier.,Xavier,xavier,368.609999,368.789999
with,with,with,368.69,368.85,,Abby,Abby,abby,369.57,369.87
you.,you,you,368.849999,369.039999,,has,has,has,369.87,370.02
I,I,i,369.53,369.67,,a,a,a,370.02,370.07
am,am,am,369.67,369.78,,bunny.,bunny,bunny,370.07,370.62
leaving,leaving,leaving,369.79,370.15,,Carys,Carys,<unk>,371.32,371.36
after,after,after,370.15,370.42,,has,has,has,371.36,371.54
lunch,lunch,lunch,370.42,370.73,,that,that,that,371.54,371.68
for,for,for,370.74,370.9,,yellow,yellow,yellow,371.679999,371.939999
a,a,a,370.9,370.97,,talking,talking,talking,371.94,372.34
meeting,meeting,meeting,370.969999,371.489999,,parakeet,parakeet,parakeet,372.34,372.91
and,and,and,371.61,371.97,,she,she,she,372.92,373.1
I,I,i,371.98,372.1,,brought,brought,brought,373.099999,373.309999
won't,won't,won't,372.099999,372.319999,,for,for,for,373.309999,373.419999
be,be,be,372.32,372.44,,show,show,show,373.42,373.6
back,back,back,372.44,372.65,,and,and,and,373.599999,373.719999
until,until,until,372.65,372.93,,tell,tell,tell,373.719999,373.929999
tomorrow.,tomorrow,tomorrow,372.929999,373.489999,,last,last,last,373.929999,374.229999
I,I,i,374.03,374.15,,year.,year,year,374.23,374.44
usually,usually,usually,374.15,374.62,,I,I,i,375.19,375.27
take,take,take,374.62,374.85,,think,think,think,375.28,375.52
care,care,care,374.86,375.08,,everybody,everybody,everybody,375.52,375.85
of,of,of,375.08,375.16,,else,else,else,375.849999,376.199999
the,the,the,375.17,375.33,,has,has,has,376.219999,376.539999
animals,animals,animals,375.33,375.75,,regular,regular,regular,376.539999,376.899999
myself,myself,myself,375.75,376.29,,"pets,",pets,pets,376.9,377.36
on,on,on,376.289999,376.459999,,like,like,like,377.549999,377.729999
"Wednesdays,",Wednesdays,wednesdays,376.459999,377.049999,,cats,cats,cats,377.73,378.13
but,but,but,377.440001,377.590001,,and,and,and,378.129999,378.309999
I,I,i,377.59,377.67,,dogs,dogs,dogs,378.31,378.75
was,was,was,377.67,377.82,,and,and,and,378.75,379.11
hoping,hoping,hoping,377.82,378.19,,Guinea,Guinea,guinea,379.23,379.49
you,you,you,378.190001,378.300001,,pigs.,pigs,pigs,379.49,379.89
might,might,might,378.3,378.54,,"Wait,",Wait,wait,380.71,380.98
be,be,be,378.54,378.67,,people,people,people,381.33,381.64
able,able,able,378.67,378.9,,have,have,have,381.64,381.74
to,to,to,378.9,379.07,,pigs,pigs,pigs,381.83,382.22
fill,fill,fill,379.08,379.32,,for,for,for,382.22,382.39
in,in,in,379.32,379.46,,pets?,pets,pets,382.39,382.9
for,for,for,379.47,379.6,,Rocket,Rocket,rocket,383.34,383.63
me,me,me,379.61,379.73,,asked,asked,asked,383.64,383.92
"today,",today,today,379.73,380.14,,incredulously.,incredulously,<unk>,385.32,385.33
maybe,maybe,maybe,380.47,380.77,,Alex,Alex,alex,385.33,385.68
after,after,after,380.77,381.03,,laughed.,laughed,laughed,385.68,386.09
school?,school,school,381.03,381.45,,"Well,",Well,well,386.44,386.82
Tully's,Tully's,<unk>,382.48,382.77,,I,I,i,387.19,387.3
heart,heart,heart,382.78,383.02,,think,think,think,387.3,387.5
did,did,did,383.03,383.18,,that's,that's,that's,387.5,387.72
a,a,a,383.18,383.23,,possible.,possible,possible,387.719999,388.309999
little,little,little,383.23,383.47,,But,But,but,388.78,388.95
leap.,leap,leap,383.47,383.86,,Guinea,Guinea,guinea,388.96,389.17
Of,Of,of,384.41,384.65,,pigs,pigs,pigs,389.17,389.46
"course,",course,course,384.65,385.1,,are,are,are,389.46,389.79
Mr,Mr,mr,385.1,385.42,,little,little,little,389.82,390.08
Hornswoggle!,Hornswoggle,<unk>,385.42,386.15,,furry,furry,furry,390.09,390.37
Tully,Tully,tully,386.24,386.52,,rodents.,rodents,rodents,390.37,390.76
said.,said,said,386.52,386.87,,Kind,Kind,kind,391.15,391.33
I'll,I'll,i'll,387.27,387.44,,of,of,of,391.33,391.41
just,just,just,387.44,387.67,,like,like,like,391.41,391.55
phone,phone,phone,387.67,387.9,,hamsters.,hamsters,hamsters,391.549999,392.029999
my,my,my,387.91,388.07,,Thinking,Thinking,thinking,392.91,393.23
mother,mother,mother,388.07,388.36,,of,of,of,393.23,393.34
from,from,from,388.36,388.52,,hamsters,hamsters,hamsters,393.339999,393.869999
the,the,the,388.52,388.63,,made,made,made,393.87,394.1
office.,office,office,388.63,389.1,,Tully,Tully,tully,394.1,394.37
I'm,I'm,i'm,389.429999,389.629999,,think,think,think,394.379999,394.599999
sure,sure,sure,389.63,389.89,,of,of,of,394.6,394.71
she,she,she,389.889999,390.049999,,fluffy,fluffy,fluffy,394.709999,395.089999
won't,won't,won't,390.05,390.25,,Howard,Howard,howard,395.09,395.49
mind.,mind,mind,390.259999,390.719999,,and,and,and,395.549999,395.699999
Mom,Mom,mom,391.54,391.78,,his,his,his,395.699999,395.839999
didn't,didn't,didn't,391.78,392.05,,cute,cute,cute,395.84,396.1
"care,",care,care,392.049999,392.259999,,pink,pink,pink,396.15,396.47
of,of,of,392.259999,392.379999,,nose.,nose,nose,396.47,396.86
course.,course,course,392.38,392.86,,Which,Which,which,397.45,397.65
She,She,she,393.11,393.29,,made,made,made,397.65,397.8
is,is,is,393.29,393.4,,her,her,her,397.8,397.9
great,great,great,393.4,393.63,,think,think,think,397.9,398.1
like,like,like,393.63,393.79,,of,of,of,398.1,398.2
that!,that,that,393.79,394.02,,the,the,the,398.2,398.29
After,After,after,395.139999,395.459999,,library,library,library,398.29,398.86
"school,",school,school,395.459999,395.979999,,and,and,and,399.04,399.18
Tully,Tully,tully,396.24,396.5,,Coco's,Coco's,<unk>,399.61,399.62
hugged,hugged,hugged,396.5,396.8,,empty,empty,empty,399.62,399.93
all,all,all,396.85,397.07,,aquarium.,aquarium,aquarium,399.93,400.58
of,of,of,397.08,397.17,,She,She,she,401.25,401.47
her,her,her,397.18,397.29,,then,then,then,401.47,401.67
friends,friends,friends,397.29,397.57,,smacked,smacked,smacked,401.67,402.07
"goodbye,",goodbye,goodbye,397.57,398.05,,her,her,her,402.07,402.24
slung,slung,slung,398.25,398.49,,own,own,own,402.36,402.74
her,her,her,398.5,398.62,,forehead.,forehead,forehead,402.74,403.45
backpack,backpack,backpack,398.62,399.08,,Guys!,Guys,guys,404.01,404.72
over,over,over,399.09,399.35,,We've,We've,we've,404.97,405.17
her,her,her,399.35,399.48,,been,been,been,405.17,405.31
"shoulder,",shoulder,shoulder,399.48,399.95,,missing,missing,missing,405.309999,405.639999
and,and,and,399.98,400.17,,a,a,a,405.65,405.74
made,made,made,400.17,400.41,,critical,critical,critical,405.74,406.26
her,her,her,400.41,400.59,,piece,piece,piece,406.26,406.53
way,way,way,400.59,400.82,,of,of,of,406.53,406.68
to,to,to,400.82,400.94,,evidence.,evidence,evidence,406.69,407.32
the,the,the,400.94,401.05,,Tully,Tully,tully,408.16,408.44
library.,library,library,401.05,401.66,,had,had,had,408.45,408.55
Right,Right,right,402.53,402.77,,almost,almost,almost,408.559999,408.889999
"away,",away,away,402.77,403.2,,completely,completely,completely,408.91,409.66
she,she,she,403.22,403.43,,forgotten,forgotten,forgotten,409.66,410.19
noticed,noticed,noticed,403.43,403.76,,about,about,about,410.19,410.43
Howard,Howard,howard,403.76,404.14,,the,the,the,410.429999,410.509999
the,the,the,404.139999,404.219999,,block,block,block,410.509999,410.769999
hamster's,hamster's,<unk>,404.55,404.71,,of,of,of,410.75,410.83
lid,lid,lid,404.78,405,,cheese,cheese,cheese,410.839999,411.279999
was,was,was,405.04,405.19,,with,with,with,411.299999,411.449999
ajar.,ajar,ajar,405.19,405.62,,the,the,the,411.45,411.57
Howard,Howard,howard,406.21,406.56,,bite,bite,bite,411.58,411.83
was,was,was,406.559999,406.709999,,marks,marks,marks,411.83,412.13
running,running,running,406.71,406.95,,in,in,in,412.129999,412.249999
in,in,in,406.95,407.04,,"it,",it,it,412.25,412.36
his,his,his,407.04,407.16,,which,which,which,412.799999,412.959999
metal,metal,metal,407.16,407.4,,had,had,had,412.959999,413.089999
wheel.,wheel,wheel,407.4,407.72,,probably,probably,probably,413.09,413.73
He,He,he,408.21,408.36,,been,been,been,413.73,413.92
gave,gave,gave,408.36,408.59,,left,left,left,413.92,414.14
Tully,Tully,Tully,408.68,408.88,,by,by,by,414.139999,414.259999
a,a,a,408.94,408.95,,the,the,the,414.26,414.38
"look,",look,look,408.95,409.27,,turtle,turtle,turtle,414.38,414.64
twitched,twitched,<unk>,409.719999,409.779999,,snatcher.,snatcher,<unk>,414.96,415.15
his,his,his,409.78,409.91,,And,And,and,415.65,415.88
"nose,",nose,nose,409.91,410.25,,maybe,maybe,maybe,415.89,416.57
and,and,and,410.28,410.45,,they,they,they,416.91,417.06
kept,kept,kept,410.45,410.68,,could,could,could,417.06,417.19
right,right,right,410.679999,410.929999,,use,use,use,417.19,417.33
on,on,on,410.99,411.28,,it,it,it,417.33,417.45
running.,running,running,411.32,411.7,,to,to,to,417.45,417.52
Tully,Tully,tully,412.51,412.77,,catch,catch,catch,417.52,417.85
fixed,fixed,fixed,412.77,413.06,,him!,him,him,417.85,418.03
his,his,his,413.059999,413.249999,,Just,Just,just,419.17,419.47
"lid,",lid,lid,413.25,413.58,,then,then,then,419.47,419.67
then,then,then,413.98,414.19,,the,the,the,419.67,419.76
got,got,got,414.190001,414.320001,,bell,bell,bell,419.76,419.98
the,the,the,414.32,414.41,,rang.,rang,rang,419.98,420.31
plastic,plastic,plastic,414.42,414.83,,I,I,i,420.98,421.09
container,container,container,414.83,415.36,,will,will,will,421.09,421.21
full,full,full,415.36,415.55,,make,make,make,421.21,421.36
of,of,of,415.55,415.66,,sure,sure,sure,421.36,421.53
crickets,crickets,crickets,415.66,416.1,,to,to,to,421.53,421.6
to,to,to,416.1,416.23,,bring,bring,bring,421.6,421.76
feed,feed,feed,416.23,416.48,,the,the,the,421.76,421.85
to,to,to,416.48,416.6,,cheese,cheese,cheese,421.85,422.13
Fluffy,Fluffy,fluffy,416.6,417.06,,tomorrow,tomorrow,tomorrow,422.13,422.69
the,the,the,417.06,417.19,,and,and,and,422.76,422.79
tarantula.,tarantula,tarantula,417.19,417.98,,we,we,we,422.8,422.94
And,And,and,419.27,419.52,,will,will,will,422.94,423.05
that's,that's,that's,419.52,419.98,,use,use,use,423.05,423.21
when,when,when,420.16,420.32,,it,it,it,423.21,423.31
"Tully,",Tully,tully,420.33,420.83,,to,to,to,423.309999,423.379999
the,the,the,421.01,421.14,,find,find,find,423.38,423.66
great,great,great,421.15,421.5,,"Coco,",Coco,coco,423.66,424.08
"detective,",detective,detective,421.5,422.13,,Tully,Tully,tully,424.389999,424.659999
noticed,noticed,noticed,422.55,422.92,,said.,said,said,424.66,424.92
the,the,the,422.92,422.97,,They,They,they,425.75,425.89
aquarium's,aquarium's,,423.19,423.6,,all,all,all,425.889999,426.009999
lid,lid,lid,423.61,423.83,,said,said,said,426.009999,426.219999
was,was,was,423.83,423.96,,their,their,their,426.219999,426.329999
ajar,ajar,ajar,423.96,424.32,,goodbyes,goodbyes,goodbyes,426.33,426.84
too.,too,too,424.32,424.8,,and,and,and,426.84,427.01
Interesting!,Interesting,interesting,425.4,426.17,,headed,headed,headed,427.009999,427.229999
Coco,Coco,coco,427.04,427.39,,home,home,home,427.23,427.43
always,always,always,427.46,427.79,,for,for,for,427.429999,427.539999
spends,spends,spends,427.79,428.12,,the,the,the,427.54,427.61
his,his,his,428.12,428.27,,day.,day,day,427.61,427.91
time,time,time,428.27,428.65,,Tully,Tully,tully,429.12,429.39
swimming,swimming,swimming,428.65,429,,woke,woke,woke,429.389999,429.619999
around,around,around,429,429.24,,up,up,up,429.62,429.77
his,his,his,429.24,429.35,,on,on,on,429.77,429.91
aquarium,aquarium,aquarium,429.349999,429.989999,,Friday,Friday,friday,429.92,430.23
or,or,or,430.379999,430.759999,,morning,morning,morning,430.23,430.66
laying,laying,laying,430.779999,431.149999,,and,and,and,430.719999,430.869999
on,on,on,431.15,431.25,,it,it,it,430.869999,430.939999
a,a,a,431.25,431.33,,was,was,was,430.940001,431.100001
rock,rock,rock,431.33,431.74,,pouring,pouring,pouring,431.129999,431.729999
under,under,under,431.75,431.97,,rain,rain,rain,431.73,431.95
his,his,his,431.969999,432.169999,,outside.,outside,outside,431.949999,432.389999
UV,UV,<unk>,432.17,432.52,,The,The,the,433.01,433.13
sun,sun,sun,432.53,432.83,,sky,sky,sky,433.13,433.36
"lamp,",lamp,lamp,432.83,433.11,,was,was,was,433.36,433.54
which,which,which,433.26,433.44,,so,so,so,433.54,433.82
Mr,Mr,mr,433.44,433.78,,dark,dark,dark,433.82,434.19
Hornswoggle,Hornswoggle,<unk>,433.79,434.29,,that,that,that,434.22,434.41
called,called,called,434.32,434.58,,Tully,Tully,tully,434.41,434.68
basking.,basking,basking,434.62,435.16,,almost,almost,almost,434.68,434.95
Tully,Tully,tully,436.12,436.38,,crawled,crawled,crawled,434.95,435.24
searched,searched,searched,436.38,436.72,,back,back,back,435.29,435.63
the,the,the,436.72,436.82,,beneath,beneath,beneath,435.63,435.92
whole,whole,whole,436.82,437.09,,her,her,her,435.93,436.05
"enclosure,",enclosure,enclosure,437.09,437.67,,blankets,blankets,blankets,436.05,436.58
but,but,but,437.99,438.12,,because,because,because,436.58,436.87
he,he,he,438.12,438.18,,she,she,she,436.87,437.01
wasn't,wasn't,wasn't,438.18,438.47,,was,was,was,437.01,437.19
basking,basking,basking,438.48,438.97,,so,so,so,437.19,437.6
or,or,or,438.97,439.06,,cozy.,cozy,cozy,437.63,438.13
blending,blending,blending,439.07,439.4,,But,But,but,438.93,439.06
in,in,in,439.4,439.54,,she,she,she,439.06,439.19
anywhere.,anywhere,anywhere,439.55,440.13,,had,had,had,439.19,439.3
Coco,Coco,coco,440.53,440.85,,too,too,too,439.3,439.39
was,was,was,440.849999,441.079999,,much,much,much,439.39,439.61
gone!,gone,gone,441.08,441.6,,to,to,to,439.61,439.7
Tully's,Tully's,<unk>,442.26,442.56,,"do,",do,do,439.7,439.98
heart,heart,heart,442.57,442.88,,including,including,including,440.349999,440.859999
was,was,was,442.88,443.04,,solving,solving,solving,440.86,441.25
beating,beating,beating,443.08,443.5,,the,the,the,441.25,441.34
like,like,like,443.509999,443.639999,,turtle,turtle,turtle,441.34,441.61
a,a,a,443.639999,443.699999,,snatcher,snatcher,<unk>,441.91,442
million,million,million,443.71,444.21,,case,case,case,442,442.36
pounding,pounding,pounding,444.21,444.64,,and,and,and,442.389999,442.579999
horses,horses,horses,444.65,445.08,,bringing,bringing,bringing,442.58,442.87
were,were,were,445.08,445.23,,Coco,Coco,coco,442.87,443.16
stuck,stuck,stuck,445.23,445.55,,home,home,home,443.16,443.38
inside,inside,inside,445.549999,445.969999,,safely.,safely,safely,443.389999,443.959999
her.,her,her,445.969999,446.199999,,She,She,she,444.79,445
Where,Where,where,446.679999,447.159999,,got,got,got,445,445.14
in,in,in,447.19,447.36,,on,on,on,445.139999,445.229999
the,the,the,447.36,447.45,,the,the,the,445.23,445.33
world,world,world,447.46,448,,bus,bus,bus,445.33,445.64
was,was,was,448.029999,448.269999,,and,and,and,445.67,445.82
Coco?,Coco,coco,448.27,448.87,,headed,headed,headed,445.82,446.04
Could,Could,could,449.34,449.5,,to,to,to,446.04,446.12
he,he,he,449.5,449.59,,school.,school,school,446.12,446.54
have,have,,449.609,449.68,,When,When,when,447.179999,447.329999
climbed,climbed,climbed,449.709999,450.099999,,the,the,the,447.33,447.42
out,out,out,450.109999,450.239999,,bus,bus,bus,447.42,447.64
of,of,of,450.24,450.36,,dropped,dropped,dropped,447.639999,447.889999
his,his,his,450.36,450.52,,her,her,her,447.889999,448.019999
glass,glass,glass,450.53,450.84,,"off,",off,off,448.02,448.28
cage?,cage,cage,450.84,451.37,,she,she,she,448.309999,448.529999
Tully,Tully,tully,451.48,451.75,,pulled,pulled,pulled,448.529999,448.809999
